name,ind_C1,ind_C3,ind_C4,weighted_mean,iso_a3
W. Sahara,1.5,,,1.5,ESH
New Caledonia,1.5,,,1.5,NCL
Falkland Is.,1.5,,,1.5,FLK
Antarctica,1.5,,,1.5,ATA
Fr. S. Antarctic Lands,1.5,,,1.5,ATF
Brunei,1.5,,0.981361477137943,1.2406807385689715,BRN
Taiwan,1.5,0.9580332712225748,,1.2290166356112873,TWN
Laos,1.5,0.9580332712225748,,1.2290166356112873,LAO
North Korea,1.4995145473963558,0.9253999429252489,,1.2124572451608024,PRK
Vietnam,1.4990290947927116,0.9194238807473434,,1.2092264877700276,VNM
Thailand,1.4952425644842875,0.9040808447063167,,1.199661704595302,THA
Lesotho,1.5,0.8573131221567538,,1.1786565610783768,LSO
Djibouti,1.5,0.838847761494687,,1.1694238807473436,DJI
Indonesia,1.493203663548982,0.8433130214366049,,1.1682583424927935,IDN
Solomon Is.,1.5,0.8265263299256349,,1.1632631649628173,SLB
Switzerland,1.5,0.9999999999999998,0.9814593810989124,1.160486460366304,CHE
Gambia,1.5,0.8209531483439927,,1.1604765741719962,GMB
Czechia,1.5,0.9976162898054424,0.9828434827962593,1.1601532575339006,CZE
Luxembourg,1.5,0.9999999999999998,0.975994761759379,1.1586649205864596,LUX
Eq. Guinea,1.5,0.8153463933793288,,1.1576731966896645,GNQ
Spain,1.5,0.9962733544845646,0.976569106081508,1.1576141535220243,ESP
Hungary,1.5,0.9999999999999998,0.9703642034749169,1.1567880678249722,HUN
Slovenia,1.5,0.9855970186835876,0.9837073160879141,1.1564347782571671,SVN
Austria,1.5,0.9972134092091787,0.9720480477645217,1.1564204856579001,AUT
Croatia,1.5,0.9999999999999998,0.9688155268297908,1.156271842276597,HRV
Norway,1.5,0.9888200634536937,0.9794066812529635,1.1560755815688857,NOR
Iceland,1.5,0.9888200634536937,0.9792794997539633,1.1560331877358856,ISL
Qatar,1.5,0.9798559701868361,0.9871548175424499,1.1556702625764288,QAT
Slovakia,1.5,0.9999999999999998,0.9612634691592149,1.1537544897197383,SVK
Germany,1.5,0.9888200634536937,0.9680302522882223,1.1522834385806384,DEU
Kuwait,1.5,0.9664266169780598,0.9903210795315963,1.1522492321698854,KWT
Belgium,1.499902909479271,0.9966426616978061,0.9586962297190708,1.1517472669653828,BEL
Bulgaria,1.5,0.9969448221450035,0.9509669385623375,1.1493039202357804,BGR
Vanuatu,1.5,0.9597119403736716,0.9876902538482506,1.1491340647406407,VUT
Netherlands,1.5,0.9664266169780598,0.9750086494110749,1.1471450887963783,NLD
Greenland,1.5,,0.794150338222977,1.1470751691114884,GRL
Finland,1.5,0.9999999999999998,0.9368573154113511,1.145619105137117,FIN
South Korea,1.5,0.9568246294337845,0.980013056266101,1.1456125618999617,KOR
Denmark,1.5,0.9640429067835019,0.9691970509620375,1.144413319248513,DNK
Greece,1.5,0.9612563159926808,0.9673087606408763,1.1428550255445191,GRC
Estonia,1.5,0.9999999999999998,0.9249222782537169,1.1416407594179057,EST
Portugal,1.5,0.9520236356616472,0.9694255164595285,1.1404830507070587,PRT
Australia,1.5,0.9440331705024254,0.9714327085850273,1.1384886263624843,AUS
Sweden,1.5,0.9529972637692834,0.9585793229095131,1.137192195559599,SWE
Belarus,1.499902909479271,0.9999999999999998,0.910763457261315,1.1368887889135288,BLR
Montenegro,1.499902909479271,0.9999999999999998,0.9083369127922611,1.1360799407571773,MNE
Bangladesh,1.4952425644842875,0.9999999999999998,0.9102245366754287,1.135155700386572,BGD
Uzbekistan,1.5,0.9580332712225748,0.9460759550793003,1.1347030754339584,UZB
Lithuania,1.5,0.9999999999999998,0.9008677433678258,1.1336225811226086,LTU
Turkmenistan,1.5,0.9376542277282571,0.9580822067432163,1.1319121448238245,TKM
New Zealand,1.5,0.9932853233956116,0.9001937763320974,1.1311596999092364,NZL
United Kingdom,1.5,0.9280522401839819,0.9614947523548383,1.12984899751294,GBR
France,1.5,0.9328532339561193,0.9563595042083349,1.1297375793881514,FRA
Malawi,1.499902909479271,0.9520236356616472,0.931298393477665,1.1277416462061944,MWI
Poland,1.5,0.9084453844991687,0.9726573074248147,1.127034230641328,POL
Malaysia,1.5,0.9040808447063167,0.9722303872765278,1.125437077327615,MYS
China,1.499902909479271,0.8918265599033088,0.9807290753563404,1.1241528482463068,CHN
Kyrgyzstan,1.499902909479271,0.9384599889207836,0.932958583195815,1.123773827198623,KGZ
Kazakhstan,1.5,0.9932853233956116,0.8774936114701387,1.1235929782885836,KAZ
Romania,1.5,0.9160665424451493,0.9515654436775862,1.122543995374245,ROU
Japan,1.5,0.8740998136677243,0.9912249794144676,1.1217749310273974,JPN
Rwanda,1.499902909479271,0.9943932450353359,0.8622468852516052,1.1188476799220706,RWA
Sri Lanka,1.499902909479271,0.9798559701868361,0.8685024249731296,1.1160871015464122,LKA
Saudi Arabia,1.4812615294993365,0.8925651743297911,0.9694792622367011,1.114435322021943,SAU
Jordan,1.499417456875627,0.8824931594232093,0.9607660458630393,1.1142255540539585,JOR
Algeria,1.499417456875627,0.8992798509341793,0.9396407183284342,1.1127793420460803,DZA
Canada,1.5,0.8992798509341793,0.9207608839254273,1.1066802449532023,CAN
Albania,1.5,0.9059945275385675,0.9112952372975438,1.1057632549453704,ALB
Ghana,1.497766918023237,0.8880999143878732,0.929535345303929,1.1051340592383463,GHA
Ireland,1.5,0.8321330848902988,0.9830726259033291,1.1050685702645426,IRL
United Arab Emirates,1.5,0.8321330848902988,0.9819738411842388,1.1047023086915126,ARE
Italy,1.5,0.8265263299256349,0.9803758812907966,1.1023007370721436,ITA
Tajikistan,1.4995145473963558,0.8321330848902988,0.9650224079861417,1.0988900134242654,TJK
Latvia,1.5,0.8992798509341793,0.8832951135718479,1.0941916548353423,LVA
Argentina,1.499902909479271,0.9580332712225748,0.82263876894643,1.0935249832160918,ARG
North Macedonia,1.5,0.8134662839301001,0.9564452923960008,1.0899705254420335,MKD
Zambia,1.5,0.9664266169780598,0.7985775044666572,1.088334707148239,ZMB
Cuba,1.5,0.9328532339561193,0.8304821893337863,1.0877784744299686,CUB
Serbia,1.5,0.7943630289906161,0.959512108866176,1.084625045952264,SRB
Timor-Leste,1.5,0.9059945275385675,0.8440874345888688,1.0833606540424787,TLS
Armenia,1.497766918023237,0.8321330848902988,0.9161430386251291,1.082014347179555,ARM
Zimbabwe,1.5,0.9760286045223345,0.7644233071347841,1.0801506372190397,ZWE
C̫te d'Ivoire,1.4995145473963558,0.6586594148159339,,1.079086981106145,CIV
Angola,1.498834913751254,0.8880999143878732,0.842606452446914,1.0765137601953472,AGO
Mongolia,1.5,0.9216732974098136,0.763911417412138,1.0618615716073172,MNG
Mauritania,1.499417456875627,0.7230195900689933,0.9607675785278325,1.0610682084908176,MRT
Fiji,1.5,0.7649863188464183,0.916630345008963,1.0605388879517939,FJI
Oman,1.5,0.6866596162562322,0.9906637172271677,1.0591077778278002,OMN
Morocco,1.49669892229522,0.751556965637642,0.9259068085900811,1.0580542321743143,MAR
Turkey,1.4886404090747272,0.7817730103573883,0.9033289619458795,1.0579141271259982,TUR
Uruguay,1.5,0.9999999999999998,0.658457631437741,1.052819210479247,URY
Azerbaijan,1.4450467652674843,0.7817730103573883,0.9267096923789256,1.0511764893345994,AZE
Russia,1.481067348457879,0.9328532339561193,0.7391262073531768,1.0510155965890584,RUS
Chile,1.499902909479271,0.7901663561128738,0.8606472756490829,1.0502388470804092,CHL
Tunisia,1.4992232758341693,0.8209531483439927,0.8227010321752024,1.0476258187844547,TUN
Philippines,1.4593190718146218,0.8465360662067114,0.8344065337517691,1.046753890591034,PHL
Togo,1.4948542024013722,0.5971194037367173,,1.0459868030690447,TGO
United States of America,1.4998058189585424,0.8992798509341793,0.7388136325745879,1.0459664341557697,USA
Afghanistan,1.4312599113239912,0.8545265313659332,0.845666281286422,1.0438175746587823,AFG
Egypt,1.4990290947927116,0.6810528612915678,0.9487373072719957,1.0429397544520917,EGY
Cambodia,1.5,0.5803327122257473,,1.0401663561128736,KHM
Gabon,1.499902909479271,0.5803327122257473,,1.040117810852509,GAB
Israel,1.4192206867536168,0.7733796646019033,0.9254207147761285,1.0393403553772163,ISR
Mozambique,1.48097025793715,0.5803327122257473,,1.0306514850814485,MOZ
Sierra Leone,1.4979610990646948,0.6642661697805978,0.9179897075951137,1.026738992146802,SLE
Liberia,1.5,0.6978395528025378,0.8804261160250526,1.0260885562758635,LBR
Bhutan,1.5,0.670980846384986,0.9056337408941131,1.0255381957596998,BTN
Burundi,1.49339784459044,0.7985597018683588,0.7765503557872051,1.0228359674153344,BDI
Senegal,1.499417456875627,0.557939265750113,0.9897359619202993,1.0156975615153465,SEN
Botswana,1.5,0.9440331705024254,0.5953380256623089,1.0131237320549114,BWA
Uganda,1.4936891161526265,0.8657064679122388,0.6726678060627216,1.0106877967091956,UGA
Papua New Guinea,1.4853393313699472,0.5299726376928369,,1.0076559845313922,PNG
Benin,1.4903880384478463,0.5709993117456478,0.9567405940844963,1.0060426480926634,BEN
Bosnia and Herz.,1.5,0.5391381712578267,0.9624645176214149,1.000534229626414,BIH
Nepal,1.5,0.5845293851034896,0.9123063430942364,0.9989452427325753,NPL
Kenya,1.4601928865011813,0.6911248761981497,0.7976140793474218,0.9829772806822509,KEN
Suriname,1.5,0.6642661697805978,0.7809296759937973,0.9817319485914652,SUR
India,1.4526198258843328,0.6045726947675878,0.8873419311183897,0.9815114839234367,IND
Iran,1.490485128968575,0.5467593292038069,0.9071058242511449,0.9814500941411758,IRN
Cameroon,1.4499983818246545,0.6546641822363231,0.8259116551664188,0.9768580730757989,CMR
Panama,1.5,0.8880999143878732,0.5115062281775302,0.9665353808551345,PAN
Costa Rica,1.5,0.8265263299256349,0.5622748154800061,0.9629337151352136,CRI
Dominican Rep.,1.499902909479271,0.7929529469036944,0.5955443723344234,0.9628000762391297,DOM
Peru,1.4990290947927116,0.6038340803411055,0.7807712380365994,0.9612114710568055,PER
Namibia,1.499902909479271,0.8254184082859106,0.522328645180585,0.9492166543152556,NAM
eSwatini,1.499902909479271,0.7985597018683588,0.5140775481199259,0.9375133864891853,SWZ
Bolivia,1.4998058189585424,0.4460391801379864,0.8659615186186964,0.9372688392384084,BOL
Chad,1.4838829735590149,0.38449916905877024,,0.9341910713088926,TCD
Nicaragua,1.4998058189585424,0.7127461348642796,0.577709279137377,0.9300870776533996,NIC
Georgia,1.5,0.3621057225831359,0.9216532444001848,0.9279196556611069,GEO
Madagascar,1.463688145247419,0.38449916905877024,,0.9240936571530947,MDG
Puerto Rico,1.4963105602123048,,0.347944888295723,0.9221277242540139,PRI
Ecuador,1.4993203663548984,0.7985597018683588,0.46192254552627654,0.919934204583178,ECU
Guinea-Bissau,1.4998058189585424,0.2865656107837704,0.9571385828343904,0.9145033375255677,GNB
Guyana,1.5,0.8321330848902988,0.37529629845699874,0.902476461115766,GUY
El Salvador,1.49669892229522,0.8992798509341793,0.30303283465060393,0.8996705359600009,SLV
Eritrea,1.499902909479271,0.7425928723707844,0.44086945606156136,0.8944550793038722,ERI
Tanzania,1.5,0.24795622030853903,0.8578573980239487,0.8686045394441626,TZA
Congo,1.5,0.23620553625086038,,0.8681027681254302,COG
Iraq,1.4003851257322244,0.550116667506001,0.6389429904010524,0.8631482612130926,IRQ
Moldova,1.5,0.1606654244514949,0.8843317090521363,0.8483323778345437,MDA
Paraguay,1.4997087284378137,0.3285323395611959,0.6995284770043517,0.8425898483344537,PRY
Cyprus,1.5,0.05994527538567396,0.9506600194914849,0.8368684316257197,CYP
Lebanon,1.4790284475225737,0.11591210488324832,0.9132770037682082,0.8360725187246767,LBN
Pakistan,1.3344606621573514,0.3024122475701263,0.8473433191254378,0.8280720762843051,PAK
Haiti,1.4015502119809704,0.49639925467089685,0.500947279860064,0.7996322488373103,HTI
Niger,1.427958833619211,0.10792163972402657,0.8316085056613282,0.7891629930015219,NER
Venezuela,1.4565034467134859,0.5971194037367173,0.2593107126818196,0.770977854377341,VEN
Guatemala,1.4875724133467103,0.5047926004263819,0.23301705299242914,0.7417940222551738,GTM
Dem. Rep. Congo,1.3612576458785075,0.12148528646489054,,0.741371466171699,COD
Trinidad and Tobago,1.4950483834428299,0.8321330848902988,-0.12663801031419686,0.7335144860063106,TTO
Guinea,1.498834913751254,-0.04077487368014654,,0.7290300200355537,GIN
Brazil,1.1746496650377034,0.7859696832351311,0.14117640961332611,0.7005985859620535,BRA
Bahamas,1.5,,-0.11931519503329358,0.6903424024833532,BHS
Colombia,1.4535907310916212,0.6055127494922024,-0.05451001493018981,0.6681978218845446,COL
Mali,1.2315447101847958,0.07673196689664441,,0.6541383385407201,MLI
Belize,1.4990290947927116,,-0.19889559475015983,0.6500667500212759,BLZ
Mexico,1.3632965468138127,0.6362995417233217,-0.0810330934353729,0.6395209983672538,MEX
Syria,0.981730800349526,0.2725655100636215,,0.6271481552065737,SYR
South Africa,1.499902909479271,0.9760286045223345,-0.6062888620198617,0.623214217327248,ZAF
Burkina Faso,0.866095990161494,-0.20303503382518362,0.9520235579329134,0.5383615047564079,BFA
Nigeria,0.936389527169164,0.4628258716489564,0.16585741178564362,0.5216909368679213,NGA
Ethiopia,1.2357196025761352,-0.3429353208776085,0.6688119973160538,0.5205320930048601,ETH
Central African Rep.,1.4559209035891127,-0.16163905255913114,0.22802786611788062,0.5074365723826207,CAF
Honduras,1.4896113142820155,0.4628258716489564,-0.4711204139521159,0.4937722573262853,HND
Yemen,1.219020033010777,-0.6450957680750702,0.7578562372063442,0.44392683404735034,YEM
Jamaica,1.490582219489304,0.8321330848902988,-1.0,0.44090510145986767,JAM
Somalia,0.7267710929156284,-0.013916167262594259,,0.35642746282651705,SOM
S. Sudan,1.4309686397618047,-0.9892229440499574,0.46078254930097207,0.30084274833760644,SSD
Libya,1.4925240299038804,-1.0,,0.24626201495194022,LBY
Sudan,0.3813230201624649,0.08008930519883806,,0.23070616268065147,SDN
Palestine,-0.6543415644519242,,0.966366421009956,0.1560124282790159,PSE
Myanmar,0.14694650312307844,-0.3681153581440635,-0.09109164742070175,-0.10408683414722893,MMR
Ukraine,-1.5,0.19433952762250084,0.8525454812242913,-0.15103833038440262,UKR
