name,Economic,Environmental,Human,Political,Security,Societal,Dimension_G,Dimension_S,Dimension_I,Dimension_C,Dimension_E,Dimension_R
Somalia,1,1,1,2,1,1,-1.1482550495066963,-1.0,,-0.39685743166441845,-0.35851729226838125,0.10733080911238901
South Sudan,1,1,1,1,1,1,-1.2232344056541264,-0.18648745290657032,-0.8934084197299195,-0.5176889547381542,,-0.1780279324778048
Afghanistan,1,1,1,1,1,1,-1.1015070061956829,-0.4437002842934946,-0.7240433401352475,1.0974093811135563,-0.3783793580824167,0.18148180467912234
Yemen,1,1,1,1,1,1,-1.0582278485307446,-0.8409477617141603,-0.08211495738196772,-0.20664898335590398,-0.3325976174788825,0.3477206741794596
Central African Rep.,2,2,1,2,1,1,-0.6633727562657152,-0.040973921501676,-1.0,-0.06858983375649141,-0.4853243195250033,-0.07626149993893339
Chad,2,1,1,1,2,1,-1.251866002630227,0.13428058308114355,-0.5222722511975679,0.8591003875204007,-0.5,-0.32415499385190605
Congo,1,2,1,1,3,1,-0.9293346658034674,-0.3410597256615536,-0.7456253086200615,0.7154358854276586,-0.33334035749550095,0.08221543761637051
Haiti,2,1,1,2,3,1,-1.2973019941491635,-0.2055885495726163,-0.3860073360341756,0.5665928589354795,-0.321564152074188,0.22680129183375985
Burundi,2,2,1,1,3,1,-0.48227019034762847,0.21705429697557133,-0.7043116103917482,1.0517990081347308,-0.32244004413748417,0.178401727931783
Sudan,1,1,1,2,2,1,-0.8618608513873264,-0.8408819188482095,-0.2827987879916939,-0.6701537203854104,-0.37737913363811093,-0.027944680514526254
Eritrea,2,1,1,1,3,1,-1.385505867404143,,,0.7727212367240018,-0.42064586031342294,-0.08065055231150692
Iraq,1,1,3,2,2,1,-0.9471732815227407,-0.28843258835512386,-0.8753382918369947,0.7046656472101622,-0.1661437173864867,0.0657156712103234
Equatorial Guinea,1,2,1,1,3,1,-1.1147969752737363,-0.07101984780578219,,1.34491174479384,-0.19474356209898847,0.09609644355333224
Libya,1,1,3,2,1,1,-1.0497534207606016,-0.31653300732580747,,-0.6363379971252892,-0.1664659959232626,-0.20612974352163888
Angola,2,1,1,2,3,1,-0.3650731212337875,-0.39651009797979897,-0.2310370984978014,1.168485214342362,-0.2720387642336576,0.13667040686062537
Cameroon,2,2,1,2,2,1,-0.9060468523420997,-0.08884712003917339,-0.15493418860565655,0.9518510448888688,-0.2280597218004181,-0.001799261881410219
Niger,2,1,1,2,2,2,-0.04383915614722528,0.14332129682731387,-0.5603893048101608,0.5438345135932671,-0.3227143728463393,-0.1989816311872627
Mali,2,2,1,2,2,2,-0.366590620042767,0.16404221591282098,-0.4393652513176459,0.250314347104717,-0.34062527069282655,-0.0010332429905911544
Liberia,2,2,1,4,3,2,-0.13745000302973814,0.3132085387181809,-0.26346162466331224,1.058869571860102,-0.35155596048797977,0.1617667671408649
Madagascar,2,1,1,2,3,2,-0.4734744324647913,0.2796081306274385,-0.6322756307103887,0.8371503614607227,-0.3260019493936982,0.2121325357041276
Uganda,2,2,1,2,3,1,-0.3920918426566683,0.24143049427315622,-0.40347960270824457,1.0253909932248884,-0.3301142584103386,0.017904189073389976
Mozambique,2,2,1,2,2,2,-0.14149578538137347,0.02161612598597773,-0.6584074879789877,1.068788587228362,-0.25966347756524166,0.17666764167011928
Guinea,2,2,1,2,3,1,-0.9532400620213188,0.38927661139624403,-0.32097745197104854,0.41311586589958693,-0.2681438979081593,0.13878894789882856
Nigeria,2,1,1,2,2,2,-0.3277073952356694,0.2019126118054675,-0.19717063414466607,-0.03760331908165837,-0.25949766191742885,0.14708367196121608
Papua New Guinea,2,1,1,2,3,2,-0.5452808989490326,0.3043631572881098,-0.8066174225452767,1.0188003596939637,-0.2943849522330324,0.14252872302469788
Myanmar,2,1,3,2,2,1,-1.1898718668419228,0.3947121827035125,-0.07812914678185057,-1.3979355951884882,-0.2766785577488834,0.14812531177562094
Guinea-Bissau,2,2,1,2,3,2,-0.5625332447322761,0.05232883370992503,-0.23280933378782875,0.8163026709038301,-0.3851970324619714,0.19566610030124687
Zambia,2,2,1,2,3,2,-0.044744850603778974,-0.05522930540589588,-0.7117791146555665,1.1941819015993722,-0.18305223713490648,0.10907363783579338
Mauritania,2,1,1,2,4,2,-0.6863473419407833,-0.00571849990535811,-0.03289596118271443,1.134909265372708,-0.2291662063267721,0.10872636761162124
Timor-Leste,2,2,3,4,3,3,-0.13580954366114673,0.6435336379639687,-0.32081005142639474,1.18336917334944,-0.1520462142384913,0.06839971383115195
Zimbabwe,2,2,1,2,3,2,-0.7397258489105556,-0.3629456785054932,-0.26609648088168025,1.1763911538447105,-0.3204698544888803,0.1976034626097588
Burkina Faso,2,1,1,2,2,2,0.039870061860409534,0.13502204547165553,-0.392867127669534,-0.0013643975185763657,-0.2784141873183955,0.062390455822914026
Ethiopia,2,2,1,2,2,2,-0.44709949556226913,0.26882426593867703,-0.3741929326787553,-0.04012244453306768,-0.2807236696250288,-0.29051818642393135
Tajikistan,2,1,3,1,3,1,-1.1950542388210115,0.3012904032748973,-0.1511346479462261,1.2171273056653855,-0.06985992138166397,0.18120139217242537
Bangladesh,2,1,3,2,4,1,-0.871925138623556,0.23453562689003538,0.07487857908988804,1.295962615539021,-0.28056367003755256,-0.16166183225193165
Pakistan,2,1,2,2,4,3,-0.4264328101458244,0.10191312683485898,-0.08232192189522503,0.6284161083300629,-0.23645382470268694,0.006695099961404272
Sierra Leone,2,2,2,4,3,2,0.09642705134772056,0.2514122544631474,-0.2706304200013412,1.0602835065662513,-0.2904058225055427,0.18642493972747987
Cambodia,2,2,3,2,3,1,-0.5523034874515577,0.5743314719111579,-0.5829421364093254,1.0894722656307514,-0.22610055269998452,0.22510505602720376
C̫te d'Ivoire,2,2,1,2,3,2,-0.35728368944887157,0.5431907958708742,-0.17534594532869607,1.1740789500431887,-0.2058542840384675,0.07118775821372914
Solomon Islands,2,1,2,4,3,2,-0.0874274624321622,0.21823962884131842,-0.9011044770688554,1.3570633657311693,-0.23180076086727086,0.1466259880617945
Djibouti,2,1,2,2,3,3,-0.699849787600175,-0.19871820952250296,-0.2793057174721396,1.3704556927101486,-0.17485054921875065,0.012912341773268943
Eswatini,3,2,2,2,3,1,-0.8831356368811418,-0.6613028896404531,-0.4759189202952483,0.866322524164565,-0.18681901190714834,0.20902335015573792
Turkmenistan,2,3,4,1,3,1,-1.4377036195361845,,,1.2889116886353802,-0.14043094462576566,0.335305384748524
Guatemala,2,2,2,2,3,3,-0.7169309785016442,0.1277465094335115,0.1349875792889741,0.44086259164774055,-0.14659180271720307,0.08624542910167499
Kenya,2,2,2,4,3,2,0.04526950899285154,0.371835335258077,-0.1427618672997193,0.9651531402920843,-0.23700494622833412,-0.0675543986687861
Togo,2,2,1,2,4,2,0.0010523473182759702,0.2846579957643469,-0.13935769683099308,1.1021249072274686,-0.16738636225263337,0.050842240223632484
Nicaragua,3,2,3,1,3,1,-0.7356818837257005,0.24448616912142507,-0.06505228329237023,0.8501790175243906,-0.1977512444737436,0.20593853863821154
Benin,2,2,1,4,3,2,0.06273575476894167,0.40882852068705433,-0.1140213106470529,1.0152932462561346,-0.24312515002452761,-0.09776475796405693
Lesotho,2,2,3,4,3,2,0.4227069301654256,-0.04778038461816703,-0.24544361338850929,1.3905259375015333,-0.19161173840341006,0.21044428094299172
Gambia,2,2,2,4,3,2,0.05033718809211818,0.15955800816469812,-0.2140195709170999,1.351005800939587,-0.23226764337115713,0.07933654240940546
West Bank & Gaza,2,3,3,2,3,1,,-0.44355647742159554,0.3114786987289,-0.8325249365515979,,0.1888557466219104
Honduras,3,2,3,2,3,3,0.10177021740976278,0.05199449783451349,0.10467675400982879,-0.09829368337050337,-0.22233185810199074,0.20992855994136794
Iran,1,1,4,2,4,1,-0.8538751137267727,-0.3645587836676756,0.06266627371145761,0.9618333017812176,-0.019269036665169437,-0.3053935806865503
Venezuela	,,,,,,,-1.5,0.020213540674341113,,0.5043031780908572,-0.22396682978372273,0.12074448196681342
